GjaeRecId;LedgerDimension;GroupChartOfAccountsValue;Ledger;PostingLayer;SubledgerVoucher;CreatedBy;MainAccount;Text;JournalType;JournalTypeLabel;NumOfLines;CountLedgerJournal;TransactionCurrencyAmount;TransactionCurrencyCode;Activity
5710334421;5644476879;A10925D;5637145326;0;FAR-003244;annamaria.massara;5637145425;36006865, ROTTAMAZIONE TARANTO 11.04 ECOLOGICA SUD;13;Post fixed assets;2212;1;56440000;EUR;ACT15
5671205182;5644476875;A10925D;5637145326;0;7100080975;annamaria.massara;5637145425;36007845, Spit fixed asset;13;Post fixed assets;4753;4753;-135860000;EUR;ACT15
5700167505;5644476676;A10920D;5637145326;0;7100081092;annamaria.massara;5637145411;109000347, Spit fixed asset;13;Post fixed assets;541;541;-5750000;EUR;ACT15
5640685990;5637238400;A10920D;5637145326;0;7100080470;giovanna.santostefan;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;0;3268;-40560000;EUR;ACT15
5651865557;5637238400;A10920D;5637145326;0;7100080605;giovanna.santostefan;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;510;510;-1280000;EUR;ACT15
5640243010;5637238376;A10935D;5637145326;0;7100080462;giovanna.santostefan;5637145432;Z29, Ammortamento Mese;13;Post fixed assets;3289;3289;-223010000;EUR;ACT15
5637568097;5637238338;A10975D;5637145326;0;7100080378;giovanna.santostefan;5637145426;Z20, Ammortamento Mese;13;Post fixed assets;0;3629;-32500000;EUR;ACT15
5656902891;5637238392;A11115D;5637145326;0;FAD-001819;annamaria.massara;5637145410;SOFTWARE ACQUISTI / SAP (70%);13;Post fixed assets;237;237;5600000000;EUR;ACT15
5639988584;5637238400;A10920D;5637145326;0;7100080399;giovanna.santostefan;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;0;3295;-15110000;EUR;ACT15
5674397462;5645523379;E43500;5637145326;0;FAR-000983;annamaria.massara;5637145843;36004566, ROTTAMAZIONE 12/2020;13;Post fixed assets;390;1;-142900000;EUR;ACT15
5655344282;5640946062;A10920D;5637145326;0;7100080708;giovanna.santostefan;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;529;529;-46280000;EUR;ACT15
5710318772;5644476878;A10925D;5637145326;0;FAR-001305;annamaria.massara;5637145425;36007676, 919176-righini-DONAZIONE PER CHIUSURA APPLE-36007676;13;Post fixed assets;163;1;-22040000;EUR;ACT15
5657204250;5639640683;A10945D;5637145326;0;7100080786;annamaria.massara;5637145429;Z27, Ammortamento Mese;13;Post fixed assets;0;104;-1830000;EUR;ACT15
5700167863;5644476878;A10925D;5637145326;0;7100081101;annamaria.massara;5637145425;36006594, Spit fixed asset;13;Post fixed assets;5666;5666;-21870000;EUR;ACT15
5699379122;5644476733;A10955D;5637145326;0;7100081084;annamaria.massara;5637145431;12000931;13;Post fixed assets;5995;5995;216660000;EUR;ACT15
5654073428;5637238400;A10920D;5637145326;0;7100080689;annamaria.massara;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;0;521;-1280000;EUR;ACT15
5666491447;5637238400;A10920D;5637145326;0;7100080908;annamaria.massara;5637145411;109000527, Spit fixed asset;13;Post fixed assets;0;525;-2450000;EUR;ACT15
5637525999;5637238332;A10935D;5637145326;0;7100080363;giovanna.santostefan;5637145430;FA/Ledger - posting: , 7100080363;13;Post fixed assets;0;3839;-16210000;EUR;ACT15
5674396654;5645523380;A10925B;5637145326;0;FAR-000781;annamaria.massara;5637145415;36004499, ROTTAMAZIONE 12/2020;13;Post fixed assets;390;1;-142900000;EUR;ACT15
5674396165;5645523380;A10925B;5637145326;0;FAR-000659;annamaria.massara;5637145415;36004877, ROTTAMAZIONE 12/2020;13;Post fixed assets;390;1;-164870000;EUR;ACT15
5637462048;5637254374;A10925D;5637145326;0;7100080361;daniele.selvi;5637145425;FA/Ledger - posting: , 7100080361;13;Post fixed assets;4018;4018;-798590000;EUR;ACT15
5724377288;5644476815;A10981D;5637145326;0;7100081158;annamaria.massara;5637232330;62000026, Spit fixed asset;13;Post fixed assets;1603;1603;-881660000;EUR;ACT15
5689558294;5644476676;A10920D;5637145326;0;7100081057;annamaria.massara;5637145411;109000838, Spit fixed asset;13;Post fixed assets;0;5987;-30000;EUR;ACT15
5695091939;5644476877;A10925D;5637145326;0;7100081074;annamaria.massara;5637145425;36009546, Spit fixed asset;13;Post fixed assets;0;5985;-5030000;EUR;ACT15
5716366385;5644476817;A10981D;5637145326;0;7100081117;annamaria.massara;5637232330;62000031, Spit fixed asset;13;Post fixed assets;0;1650;-431440000;EUR;ACT15
5693349972;5644476875;A10925D;5637145326;0;7100081073;annamaria.massara;5637145425;36007832, Spit fixed asset;13;Post fixed assets;0;5994;-1737890000;EUR;ACT15
5681111305;5644476713;A10975D;5637145326;0;7100081029;annamaria.massara;5637145426;1000471, Spit fixed asset;13;Post fixed assets;0;5992;-28480000;EUR;ACT15
5656240875;5637238400;A10920D;5637145326;0;7100080771;giovanna.santostefan;5637145411;Z113, Ammortamento Mese;13;Post fixed assets;0;518;-8380000;EUR;ACT15
5642347418;5637176747;E43500;5637145326;0;FAR-000182;annamaria.massara;5637145843;Edilscavi - Rottamazione Taranto 2018;13;Post fixed assets;225;1;-27840000;EUR;ACT15
5642355245;5637176749;E43500;5637145326;0;FAR-000271;daniele.selvi;5637145843;Edilscavi - Rottamazione Taranto 2018;13;Post fixed assets;142;1;-257400000;EUR;ACT15
5637720206;5637238332;A10935D;5637145326;0;FAD-000140;annamaria.massara;5637145430;Z28, Scrap Cespiti;13;Post fixed assets;280;1;133200000;EUR;ACT15
5710332962;5644476879;A10925D;5637145326;0;FAR-002889;annamaria.massara;5637145425;36005280, ROTTAMAZIONE TARANTO 11.04 ECOLOGICA SUD;13;Post fixed assets;2212;1;135000000;EUR;ACT15
5695088179;5644476878;A10925D;5637145326;0;7100081074;annamaria.massara;5637145425;36007616, Spit fixed asset;13;Post fixed assets;0;5985;-22040000;EUR;ACT15
5651865286;5637285313;A10935D;5637145326;0;7100080612;annamaria.massara;5637145430;Z28, Ammortamento Mese;13;Post fixed assets;125;125;-346730000;EUR;ACT15
5725790913;5644476678;A10920D;5637145326;0;7100081166;annamaria.massara;5637145411;109000908, Spit fixed asset;13;Post fixed assets;0;2000;-1591270000;EUR;ACT15
5695092943;5644476877;A10925D;5637145326;0;7100081074;annamaria.massara;5637145425;36010048, Spit fixed asset;13;Post fixed assets;0;5985;-5030000;EUR;ACT15
