GjaeRecId;LedgerDimension;GroupChartOfAccountsValue;Ledger;PostingLayer;SubledgerVoucher;CreatedBy;MainAccount;Text;JournalType;JournalTypeLabel;NumOfLines;CountLedgerJournal;TransactionCurrencyAmount;TransactionCurrencyCode;Activity
5653610321;5637176287;A10100;5637145326;0;RPV80002492;marta.tozzi;5637145443;Settlement: 2000451-2019, 2000451-2019;NULL;NULL;NULL;NULL;-79992350000;EUR;ACT09
5654876095;5637176287;A10100;5637145326;0;RPV80002644;marta.tozzi;5637145443;Settlement: NAT0000660, NAT0000660;NULL;NULL;NULL;NULL;-18095910000;EUR;ACT09
5637415332;5637176287;A10100;5637145326;0;RPV80000110;annamaria.massara;5637145443;Settlement: 4000004853, 4000004853;NULL;NULL;NULL;NULL;-44000000;EUR;ACT09
5656916952;5637176287;A10100;5637145326;0;RPV80002737;marta.tozzi;5637145443;Settlement: 2000924-2019, 2000924-2019;NULL;NULL;NULL;NULL;-43020000000;EUR;ACT09
5637415754;5637176287;A10100;5637145326;0;RPV80000321;annamaria.massara;5637145443;Settlement: 200000058, 200000058;NULL;NULL;NULL;NULL;-5,53709E+11;EUR;ACT09
5743709409;5644324439;A10005;5637145326;0;9000077128;marta.tozzi;5637145480;Vend.payment: 13/04/2023,200000041,1100598-2023,29, PO - invoice: ANTONINI - CONCILIAZIONE TALARICO 02/2023-,;4;Vendor disbursement;57;1;-10447520000;EUR;ACT09
5640844290;5637176287;A10100;5637145326;0;RPV80001791;marta.tozzi;5637145443;Settlement: NAT0000178, NAT0000178;NULL;NULL;NULL;NULL;-12369580000;EUR;ACT09
5692725933;5644324433;A10100;5637145326;0;NAT0001664;marta.tozzi;5637145443;Factoring transfer document : 2000653-2021;0;Daily;0;1;6827940000;EUR;ACT09
5681166793;5644324433;A10100;5637145326;0;RPV80004326;marta.tozzi;5637145443;Settlement: NAT0001415, NAT0001415;NULL;NULL;NULL;NULL;-11483760000;EUR;ACT09
5679579668;5644324433;A10100;5637145326;0;4000036390;marta.tozzi;5637145443;AMEX - INC. FT. 2/11 RIT. ACC.TO;0;Daily;0;1;-144900000;EUR;ACT09
5666309909;5637176287;A10100;5637145326;0;BRC0014185;marta.tozzi;5637145443;SKY - INC. FT. 2000048-2000068;0;Daily;5;5;72836650000;EUR;ACT09
5639099065;5637176336;A10005;5637145326;0;9000007364;marta.tozzi;5637145480;Vendor - payment: 15/06/2018, 28052018.1, 9000007364;4;Vendor disbursement;0;1;-104000000;EUR;ACT09
5637416182;5637176287;A10100;5637145326;0;RPV80000468;annamaria.massara;5637145443;Settlement: 200000478, 200000478;NULL;NULL;NULL;NULL;-40599370000;EUR;ACT09
5654915838;5637176287;A10100;5637145326;0;BRC0012025;marta.tozzi;5637145443;MEDIOCREDITO - ENEL ENERGIA - ft. 2/879;0;Daily;0;1;-2944870000;EUR;ACT09
5677560095;5644324433;A10100;5637145326;0;RPV80004137;marta.tozzi;5637145443;Settlement: NAT0001347, NAT0001347;NULL;NULL;NULL;NULL;1735490000;EUR;ACT09
5671197867;5644324433;A10100;5637145326;0;4000034426;marta.tozzi;5637145443;PHILIP MORRIS FT 2/794 DEL 27.10.2020;0;Daily;0;1;-1,10243E+11;EUR;ACT09
5637249438;5637179114;A10427;5637145326;0;1500000060;olivier.massonnat;5637145444;Regione Lazio - Rischio Fattura 147k Euro 2013;0;Daily;7801;2;1,47933E+11;EUR;ACT09
