GjaeRecId;LedgerDimension;GroupChartOfAccountsValue;Ledger;PostingLayer;SubledgerVoucher;CreatedBy;MainAccount;Text;JournalType;JournalTypeLabel;NumOfLines;CountLedgerJournal;TransactionCurrencyAmount;TransactionCurrencyCode;Activity
5730221456;5644324531;L20220;5637145326;0;2001220-2022;marta.tozzi;5637145547;SO/Ledger - invoice: SO0007648, VIVIGAS S.p.A.;NULL;NULL;NULL;NULL;-336830000;EUR;ACT07
5642883537;5637183968;R40000;5637145326;0;2000030-2019;teresa.carofano;5637145648;SO/Ledger - invoice: 22/01/2019, 2000030-2019, 2000030-2019;NULL;NULL;NULL;NULL;-8,27286E+11;EUR;ACT07
5659522432;5637176542;R40000;5637145326;0;RR-003086;fausta.marciuliano;5637145648;Servizio Elettrico Nazionale S.p.A.;NULL;NULL;NULL;NULL;-2,27245E+11;EUR;ACT07
5684623937;5645323050;R40000;5637145326;0;2000381-2021;marta.tozzi;5637145648;SO/Ledger - invoice: SO0004609, Banca Monte dei Paschi di Siena S.p.A.;NULL;NULL;NULL;NULL;-44673420000;EUR;ACT07
5725407866;5645367662;R40000;5637145326;0;RRR-008058;racheal.mbabazi;5637145648;Sky Italia Network Service S.r.L. - 2000957-2022;NULL;NULL;NULL;NULL;2855000000;EUR;ACT07
5642206862;5637176287;A10100;5637145326;0;2000891-2018;teresa.carofano;5637145443;SO - invoice : 21/12/2018, 2000891-2018, 2000891-2018;NULL;NULL;NULL;NULL;3131630000;EUR;ACT07
5725632520;5645339517;R40000;5637145326;0;8000161-2022;racheal.mbabazi;5637145648;SO/Ledger - invoice: SO0007435, American Express Italia S.r.l.;NULL;NULL;NULL;NULL;-8564220000;EUR;ACT07
5673823975;5644324508;A10105;5637145326;0;RRR-004622;marta.tozzi;5637145449;Banca Monte dei Paschi di Siena S.p.A. - 2000932-2020;NULL;NULL;NULL;NULL;-52559180000;EUR;ACT07
5679516877;5644324874;A10105;5637145326;0;RR-006279;annamaria.massara;5637145449;TELEPERFORMANCE KS ITALIA S.P.A.;NULL;NULL;NULL;NULL;4500000000;EUR;ACT07
5657202452;5637175123;L20220;5637145326;0;2001297-2019;annamaria.massara;5637145547;Cust/Ledger - invoice: 31/12/2019, 2001297-2019, 2001297-2019;NULL;NULL;NULL;NULL;-9020000;EUR;ACT07
5700166277;5644324531;L20220;5637145326;0;2001069-2021;marta.tozzi;5637145547;SO/Ledger - invoice: SO0005676, AMAZON EU SARL, SUCCURSALE ITALIANA;NULL;NULL;NULL;NULL;-2,72813E+11;EUR;ACT07
5637497372;5637180656;A10420;5637145326;0;2000161-2018;teresa.carofano;5637145552;SO/Ledger - invoice: 19/02/2018, 2000161-2018, 2000161-2018;NULL;NULL;NULL;NULL;-19167250000;EUR;ACT07
5647315242;5637176287;A10100;5637145326;0;2000306-2019;teresa.carofano;5637145443;SO - invoice : SO0001455, Sisal Entertainment S.p.A.;NULL;NULL;NULL;NULL;14730870000;EUR;ACT07
5637719404;5637183901;R40000;5637145326;0;2000334-2018;teresa.carofano;5637145648;SO/Ledger - invoice: 27/04/2018, 2000334-2018, 2000334-2018;NULL;NULL;NULL;NULL;-1,22067E+11;EUR;ACT07
5694851938;5645362308;R40000;5637145326;0;RR-008397;marta.tozzi;5637145648;AGENVITA S.R.L.;NULL;NULL;NULL;NULL;37777800000;EUR;ACT07
5725543024;5644324433;A10100;5637145326;0;2000998-2022;racheal.mbabazi;5637145443;SO - invoice : SO0007372, Sky Italia Network Service S.r.L.;NULL;NULL;NULL;NULL;23294190000;EUR;ACT07
5654883176;5637176300;A10105;5637145326;0;RRR-002827;teresa.carofano;5637145449;Enel Energia S.p.A. - 2000975-2019;NULL;NULL;NULL;NULL;-49912270000;EUR;ACT07
5730203212;5646625382;R41250;5637145326;0;RR-012645;Admin;5637145657;TELEPERFORMANCE EMEA;NULL;NULL;NULL;NULL;-920000;EUR;ACT07
5728313283;5644324508;A10105;5637145326;0;RR-012505;fausta.marciuliano;5637145449;PHILIP MORRIS ITALIA S.R.L.;NULL;NULL;NULL;NULL;7,76672E+11;EUR;ACT07
5637707341;5637176287;A10100;5637145326;0;2000313-2018;teresa.carofano;5637145443;SO - invoice : 16/04/2018, 2000313-2018, 2000313-2018;NULL;NULL;NULL;NULL;2291530000;EUR;ACT07
5724840825;5644324508;A10105;5637145326;0;RR-011870;marta.tozzi;5637145449;ENI PLENITUDE S.P.A. SOCIETA' BENEFIT;NULL;NULL;NULL;NULL;-76512280000;EUR;ACT07
5661450517;5641441335;R40000;5637145326;0;RRF000457;marta.tozzi;5637145648;Amex Agenzia Assicurativa S.r.l.;NULL;NULL;NULL;NULL;5327000000;EUR;ACT07
5745466001;5644324531;L20220;5637145326;0;2000534-2023;marta.tozzi;5637145547;SO/Ledger - invoice: SO0008471, Sky Italia Network Service S.r.L.;NULL;NULL;NULL;NULL;-16577940000;EUR;ACT07
5705101984;5645339513;R40000;5637145326;0;RRR-006919;marta.tozzi;5637145648;American Express Italia S.r.l. - 8000019-2022;NULL;NULL;NULL;NULL;2015000000;EUR;ACT07
5648838610;5639112834;R40000;5637145326;0;RRR-002069;teresa.carofano;5637145648;American Express Italia S.r.l. - 8000043-2019;NULL;NULL;NULL;NULL;6210000000;EUR;ACT07
5640834120;5637176300;A10105;5637145326;0;RRR-001225;teresa.carofano;5637145449;Sky Italia Network Service S.r.L. - 2000782-2018;NULL;NULL;NULL;NULL;-26139100000;EUR;ACT07
